date,home_team,away_team,home_win_rate,prob_iso,prob_used,odds_1,EV_€_per_100,stake,potential_profit_if_win,status,win,pnl,settled_at,game_key
2026-01-09,DEN,ATL,0.71,0.474025974025974,0.474025974025974,2.02,-4.246753246753249,100.0,102.0,SETTLED,0.0,-100.0,2026-01-09,2026-01-09_DEN_ATL
2026-01-09,DEN,ATL,0.71,0.474025974025974,0.474025974025974,2.02,-4.246753246753249,100.0,102.0,SETTLED,0.0,-100.0,2026-01-09,2026-01-09_DEN_ATL
2026-01-09,ORL,PHI,0.62,0.474025974025974,0.474025974025974,2.3,9.025974025974016,100.0,130.0,SETTLED,0.0,-100.0,2026-01-09,2026-01-09_ORL_PHI
2026-01-09,ORL,PHI,0.62,0.474025974025974,0.474025974025974,2.3,9.025974025974016,100.0,130.0,SETTLED,0.0,-100.0,2026-01-09,2026-01-09_ORL_PHI
2026-01-09,ORL,PHI,0.62,0.474025974025974,0.474025974025974,2.3,9.025974025974016,100.0,130.0,SETTLED,0.0,-100.0,2026-01-09,2026-01-09_ORL_PHI
2026-01-09,ORL,PHI,0.62,0.474025974025974,0.474025974025974,2.3,9.025974025974016,100.0,130.0,SETTLED,0.0,-100.0,2026-01-09,2026-01-09_ORL_PHI
2026-01-09,ORL,PHI,0.62,0.474025974025974,0.474025974025974,2.3,9.025974025974016,100.0,130.0,SETTLED,0.0,-100.0,2026-01-09,2026-01-09_ORL_PHI
2026-01-09,ORL,PHI,0.62,0.474025974025974,0.474025974025974,2.3,9.025974025974016,100.0,130.0,SETTLED,0.0,-100.0,2026-01-09,2026-01-09_ORL_PHI
2026-01-09,ORL,PHI,0.62,0.474025974025974,0.474025974025974,2.3,9.025974025974016,100.0,130.0,SETTLED,0.0,-100.0,2026-01-09,2026-01-09_ORL_PHI
2026-01-09,ORL,PHI,0.62,0.474025974025974,0.474025974025974,2.3,9.025974025974016,100.0,130.0,SETTLED,0.0,-100.0,2026-01-09,2026-01-09_ORL_PHI
2026-01-09,ORL,PHI,0.62,0.474025974025974,0.474025974025974,2.3,9.025974025974016,100.0,130.0,SETTLED,0.0,-100.0,2026-01-09,2026-01-09_ORL_PHI
2026-01-09,ORL,PHI,0.62,0.474025974025974,0.474025974025974,2.3,9.025974025974016,100.0,130.0,SETTLED,0.0,-100.0,2026-01-09,2026-01-09_ORL_PHI
2026-01-09,POR,HOU,0.55,0.474025974025974,0.474025974025974,3.0,42.2077922077922,100.0,200.0,SETTLED,1.0,200.0,2026-01-09,2026-01-09_POR_HOU
2026-01-09,POR,HOU,0.55,0.474025974025974,0.474025974025974,3.0,42.2077922077922,100.0,200.0,SETTLED,1.0,200.0,2026-01-09,2026-01-09_POR_HOU
2026-01-09,POR,HOU,0.55,0.474025974025974,0.474025974025974,3.0,42.2077922077922,100.0,200.0,SETTLED,1.0,200.0,2026-01-09,2026-01-09_POR_HOU
2026-01-09,POR,HOU,0.55,0.474025974025974,0.474025974025974,3.0,42.2077922077922,100.0,200.0,SETTLED,1.0,200.0,2026-01-09,2026-01-09_POR_HOU
2026-01-09,POR,HOU,0.55,0.474025974025974,0.474025974025974,3.0,42.2077922077922,100.0,200.0,SETTLED,1.0,200.0,2026-01-09,2026-01-09_POR_HOU
2026-01-09,POR,HOU,0.55,0.474025974025974,0.474025974025974,3.0,42.2077922077922,100.0,200.0,SETTLED,1.0,200.0,2026-01-09,2026-01-09_POR_HOU
2026-01-09,POR,HOU,0.55,0.474025974025974,0.474025974025974,3.0,42.2077922077922,100.0,200.0,SETTLED,1.0,200.0,2026-01-09,2026-01-09_POR_HOU
2026-01-09,POR,HOU,0.55,0.474025974025974,0.474025974025974,3.0,42.2077922077922,100.0,200.0,SETTLED,1.0,200.0,2026-01-09,2026-01-09_POR_HOU
2026-01-09,POR,HOU,0.55,0.474025974025974,0.474025974025974,3.0,42.2077922077922,100.0,200.0,SETTLED,1.0,200.0,2026-01-09,2026-01-09_POR_HOU
2026-01-09,POR,HOU,0.55,0.474025974025974,0.474025974025974,3.0,42.2077922077922,100.0,200.0,SETTLED,1.0,200.0,2026-01-09,2026-01-09_POR_HOU
