run_date,setup,today_home_team,today_away_team,game_date,home_team,away_team,home_team_prob,home_win_rate,odds_1,odds_2,home_win,home_ml_pnl_100
2026-05-22,per_game_similar_bucket,DEN,SAS,2025-11-22,ORL,NYK,0.6667776830140433,0.67,1.87,1.95,1.0,87.00000000000001
2026-05-22,per_game_similar_bucket,DEN,SAS,2025-11-26,BOS,DET,0.6979409304193159,0.56,2.24,1.68,1.0,124.00000000000003
2026-05-22,per_game_similar_bucket,DEN,SAS,2025-11-29,PHO,DEN,0.7102849395345799,0.73,2.36,1.62,0.0,-100.0
2026-05-22,per_game_similar_bucket,DEN,SAS,2025-12-09,ORL,MIA,0.6960493023746125,0.69,1.89,1.93,1.0,88.99999999999999
2026-05-22,per_game_similar_bucket,DEN,SAS,2026-01-08,MIN,CLE,0.705668728118653,0.68,1.8,2.05,1.0,80.0
2026-05-22,per_game_similar_bucket,DEN,SAS,2026-01-09,PHO,NYK,0.6591690742870373,0.71,1.98,1.85,1.0,98.0
2026-05-22,per_game_similar_bucket,DEN,SAS,2026-01-10,BOS,SAS,0.6608771232919017,0.67,1.98,1.85,0.0,-100.0
2026-05-22,per_game_similar_bucket,DEN,SAS,2026-01-13,LAL,ATL,0.6713112546211288,0.59,2.2,1.7,1.0,120.00000000000001
2026-05-22,per_game_similar_bucket,DEN,SAS,2026-01-18,LAL,TOR,0.6934616770963775,0.58,2.05,1.8,1.0,104.99999999999999
2026-05-22,per_game_similar_bucket,DEN,SAS,2026-01-22,POR,MIA,0.6856091483703756,0.55,1.83,2.0,1.0,83.0
2026-05-22,per_game_similar_bucket,DEN,SAS,2026-02-01,PHO,LAC,0.7239283581628616,0.75,2.05,1.8,0.0,-100.0
2026-05-22,per_game_similar_bucket,DEN,SAS,2026-02-23,DET,SAS,0.6930208313849389,0.75,1.8,2.05,0.0,-100.0
2026-05-22,per_game_similar_bucket,DEN,SAS,2026-03-08,MIA,DET,0.6965665043712266,0.55,2.1,1.77,1.0,110.00000000000001
2026-05-22,per_game_similar_bucket,DEN,SAS,2026-03-09,LAC,NYK,0.6628566799978931,0.65,2.2,1.7,1.0,120.00000000000001
2026-05-22,per_game_similar_bucket,DEN,SAS,2026-03-14,LAL,DEN,0.6629825507047897,0.7,2.3,1.65,1.0,129.99999999999997
2026-05-22,per_game_similar_bucket,DEN,SAS,2026-03-22,PHO,TOR,0.7224429936355161,0.55,2.36,1.62,1.0,136.0
2026-05-22,per_game_similar_bucket,DEN,SAS,2026-04-15,PHI,ORL,0.6804090412353525,0.65,1.8,2.05,1.0,80.0
2026-05-22,per_game_similar_bucket,DEN,SAS,2026-04-24,POR,SAS,0.7425508973513372,0.65,2.2,1.7,0.0,-100.0
2026-05-22,per_game_similar_bucket,DEN,SAS,2026-04-26,TOR,CLE,0.6733885978348959,0.55,2.42,1.59,1.0,142.0
2026-05-22,per_game_similar_bucket,DEN,SAS,2026-04-27,ORL,DET,0.6818566900098638,0.65,2.3,1.65,1.0,129.99999999999997
2026-05-22,per_game_similar_bucket,PHI,ORL,2025-11-19,CLE,HOU,0.6649952849665081,0.75,2.0,1.83,0.0,-100.0
2026-05-22,per_game_similar_bucket,PHI,ORL,2025-11-19,PHI,TOR,0.6635558086581727,0.71,2.14,1.74,0.0,-100.0
2026-05-22,per_game_similar_bucket,PHI,ORL,2025-11-22,ORL,NYK,0.6667776830140433,0.67,1.87,1.95,1.0,87.00000000000001
2026-05-22,per_game_similar_bucket,PHI,ORL,2025-11-24,TOR,CLE,0.6308937513462158,0.71,1.87,1.95,1.0,87.00000000000001
2026-05-22,per_game_similar_bucket,PHI,ORL,2025-12-02,BOS,NYK,0.6454243572825947,0.6,1.89,1.93,1.0,88.99999999999999
2026-05-22,per_game_similar_bucket,PHI,ORL,2025-12-15,BOS,DET,0.6222335524421478,0.67,1.82,2.02,0.0,-100.0
2026-05-22,per_game_similar_bucket,PHI,ORL,2025-12-15,DEN,HOU,0.6054177606840577,0.6,1.85,1.98,1.0,85.00000000000001
2026-05-22,per_game_similar_bucket,PHI,ORL,2025-12-20,DEN,HOU,0.6175347693173632,0.67,2.0,1.83,0.0,-100.0
2026-05-22,per_game_similar_bucket,PHI,ORL,2025-12-31,SAS,NYK,0.6066725907181034,0.73,1.82,2.02,1.0,82.0
2026-05-22,per_game_similar_bucket,PHI,ORL,2026-01-05,TOR,ATL,0.671663023525516,0.58,1.62,2.36,1.0,62.000000000000014
2026-05-22,per_game_similar_bucket,PHI,ORL,2026-01-09,PHO,NYK,0.6591690742870373,0.71,1.98,1.85,1.0,98.0
2026-05-22,per_game_similar_bucket,PHI,ORL,2026-01-10,BOS,SAS,0.6608771232919017,0.67,1.98,1.85,0.0,-100.0
2026-05-22,per_game_similar_bucket,PHI,ORL,2026-01-10,CLE,MIN,0.621974270115102,0.6,1.7,2.2,1.0,70.0
2026-05-22,per_game_similar_bucket,PHI,ORL,2026-01-11,MIN,SAS,0.6539265318434804,0.7,1.7,2.2,1.0,70.0
2026-05-22,per_game_similar_bucket,PHI,ORL,2026-01-28,TOR,NYK,0.6266132774152411,0.6,1.8,2.05,0.0,-100.0
2026-05-22,per_game_similar_bucket,PHI,ORL,2026-01-30,GSW,DET,0.647262279881838,0.65,1.82,2.02,0.0,-100.0
2026-05-22,per_game_similar_bucket,PHI,ORL,2026-02-03,MIA,ATL,0.6109948393881908,0.55,1.62,2.36,0.0,-100.0
2026-05-22,per_game_similar_bucket,PHI,ORL,2026-02-07,OKC,HOU,0.6295602513583777,0.75,1.65,2.3,0.0,-100.0
2026-05-22,per_game_similar_bucket,PHI,ORL,2026-02-07,PHO,PHI,0.6023443879451466,0.65,1.82,2.02,0.0,-100.0
2026-05-22,per_game_similar_bucket,PHI,ORL,2026-02-22,LAL,BOS,0.6115161696074684,0.6,2.1,1.77,0.0,-100.0
2026-05-22,per_game_similar_bucket,PHI,ORL,2026-03-11,LAC,MIN,0.6286054199445067,0.7,1.87,1.95,1.0,87.00000000000001
2026-05-22,per_game_similar_bucket,PHI,ORL,2026-03-18,NOP,LAC,0.6260285111613384,0.55,1.7,2.2,1.0,70.0
2026-05-22,per_game_similar_bucket,PHI,ORL,2026-03-19,NOP,LAC,0.6052849259661932,0.55,1.8,2.05,1.0,80.0
2026-05-22,per_game_similar_bucket,PHI,ORL,2026-03-25,CLE,MIA,0.6773072497167854,0.7,1.68,2.24,0.0,-100.0
2026-05-22,per_game_similar_bucket,PHI,ORL,2026-03-25,DET,ATL,0.656959083441213,0.75,1.77,2.1,0.0,-100.0
2026-05-22,per_game_similar_bucket,PHI,ORL,2026-03-26,CHO,NYK,0.6392538770022165,0.55,1.83,2.0,1.0,83.0
2026-05-22,per_game_similar_bucket,PHI,ORL,2026-03-31,HOU,NYK,0.6361156976350337,0.65,1.93,1.89,1.0,93.0
2026-05-22,per_game_similar_bucket,PHI,ORL,2026-03-31,LAL,CLE,0.6230388963999735,0.75,1.77,2.1,1.0,77.0
2026-05-22,per_game_similar_bucket,PHI,ORL,2026-04-03,PHI,MIN,0.6342918941234155,0.6,1.74,2.14,1.0,74.0
2026-05-22,per_game_similar_bucket,PHI,ORL,2026-04-08,CLE,ATL,0.6460100498819936,0.7,1.83,2.0,1.0,83.0
2026-05-22,per_game_similar_bucket,PHI,ORL,2026-04-15,PHI,ORL,0.6804090412353525,0.65,1.8,2.05,1.0,80.0
2026-05-22,per_game_similar_bucket,PHI,ORL,2026-05-05,DET,CLE,0.656437841840934,0.75,1.68,2.24,1.0,68.0
2026-05-22,per_game_similar_bucket,PHI,ORL,2026-05-07,DET,CLE,0.6532357327973056,0.75,1.62,2.36,1.0,62.000000000000014
2026-05-22,per_game_similar_bucket,SAS,OKC,2025-11-06,PHO,LAC,0.6835258342045505,0.75,1.74,2.14,1.0,74.0
2026-05-22,per_game_similar_bucket,SAS,OKC,2025-11-12,DET,CHI,0.6884772230872925,0.83,2.02,1.82,1.0,102.0
2026-05-22,per_game_similar_bucket,SAS,OKC,2025-11-14,DET,PHI,0.7199655027381294,0.86,1.62,2.36,1.0,62.000000000000014
2026-05-22,per_game_similar_bucket,SAS,OKC,2025-11-19,CLE,HOU,0.6649952849665081,0.75,2.0,1.83,0.0,-100.0
2026-05-22,per_game_similar_bucket,SAS,OKC,2025-11-19,PHI,TOR,0.6635558086581727,0.71,2.14,1.74,0.0,-100.0
2026-05-22,per_game_similar_bucket,SAS,OKC,2025-11-21,HOU,DEN,0.6997622437963672,0.83,1.74,2.14,0.0,-100.0
2026-05-22,per_game_similar_bucket,SAS,OKC,2025-12-29,SAS,CLE,0.7165933640697243,0.79,1.74,2.14,0.0,-100.0
2026-05-22,per_game_similar_bucket,SAS,OKC,2026-01-19,DET,BOS,0.7188304323478916,0.8,1.65,2.3,1.0,64.99999999999999
2026-05-22,per_game_similar_bucket,SAS,OKC,2026-02-01,PHO,LAC,0.7239283581628616,0.75,2.05,1.8,0.0,-100.0
2026-05-22,per_game_similar_bucket,SAS,OKC,2026-02-08,BOS,NYK,0.7308136588982316,0.75,1.62,2.36,0.0,-100.0
2026-05-22,per_game_similar_bucket,SAS,OKC,2026-02-23,DET,SAS,0.6930208313849389,0.75,1.8,2.05,0.0,-100.0
2026-05-22,per_game_similar_bucket,SAS,OKC,2026-03-05,SAS,DET,0.7019645897888568,0.8,1.65,2.3,1.0,64.99999999999999
2026-05-22,per_game_similar_bucket,SAS,OKC,2026-04-02,DET,MIN,0.6827535773534833,0.75,1.62,2.36,1.0,62.000000000000014
2026-05-22,per_game_similar_bucket,SAS,OKC,2026-04-25,ATL,NYK,0.6755375991455155,0.8,2.1,1.77,0.0,-100.0
